day,canopy_cover,biomass,yield,soil_moisture,water_stress,et
0,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,-9.90,0.00,1.46
2,0.00,0.00,0.00,-9.90,0.00,2.23
3,0.00,0.00,0.00,-9.90,0.00,4.14
4,0.00,0.00,0.00,-9.90,0.00,6.60
5,0.00,0.00,0.00,-9.90,0.00,7.70
6,0.00,0.00,0.00,-9.90,0.00,10.12
7,0.00,0.00,0.00,-9.90,0.00,10.89
8,0.00,0.00,0.00,-9.90,0.00,11.77
9,0.00,0.00,0.00,-9.90,0.00,13.86
10,0.00,0.00,0.00,-9.90,0.00,16.17
11,0.00,0.00,0.00,-9.90,0.00,16.94
12,0.00,0.00,0.00,-9.90,0.00,17.60
13,0.00,0.00,0.00,-9.90,0.00,18.81
14,0.00,0.00,0.00,-9.90,0.00,19.69
15,0.00,0.00,0.00,-9.90,0.00,22.34
16,0.00,0.00,0.00,-9.90,0.00,24.57
17,0.00,0.00,0.00,-9.90,0.00,26.07
18,0.00,0.00,0.00,-9.90,0.00,27.49
19,0.00,0.00,0.00,-9.90,0.00,29.38
20,0.00,0.00,0.00,-9.90,0.00,30.71
21,0.00,0.00,0.00,-9.90,0.00,32.00
22,0.00,0.00,0.00,-9.90,0.00,32.81
23,0.00,0.00,0.00,-9.90,0.00,34.57
24,0.00,0.00,0.00,-9.90,0.00,36.33
25,0.00,0.00,0.00,-9.90,0.00,38.52
26,0.00,0.00,0.00,-9.90,0.00,40.66
27,0.00,0.00,0.00,-9.90,0.00,41.98
28,0.00,0.00,0.00,-9.90,0.00,42.97
29,0.00,0.00,0.00,-9.90,0.00,45.32
30,0.00,0.00,0.00,-9.90,0.00,47.92
31,0.00,0.00,0.00,120.16,0.00,49.46
32,0.00,0.00,0.00,117.52,0.00,52.10
33,0.00,0.00,0.00,114.12,0.00,55.50
34,0.00,0.00,0.00,112.38,0.00,57.24
35,0.00,0.00,0.00,110.36,0.00,59.26
36,0.00,0.00,0.00,108.37,0.00,61.25
37,0.00,0.00,0.00,106.82,0.00,62.79
38,0.00,0.00,0.00,117.38,0.00,64.53
39,0.00,0.00,0.00,131.59,0.00,65.47
40,0.00,0.00,0.00,144.05,0.00,66.53
41,0.00,0.00,0.00,153.75,0.00,68.53
42,0.00,0.00,0.00,162.18,0.00,69.51
43,7.08,0.01,0.00,170.14,0.00,70.26
44,7.43,0.02,0.00,177.57,0.00,71.01
45,7.79,0.04,0.00,186.11,0.00,73.03
46,8.17,0.06,0.00,194.28,0.00,75.89
47,8.57,0.08,0.00,200.60,0.00,76.85
48,8.99,0.11,0.00,208.59,0.00,78.73
49,9.43,0.12,0.00,214.37,0.00,79.89
50,9.89,0.13,0.00,220.81,0.00,80.28
51,10.37,0.14,0.00,227.08,0.00,80.62
52,10.88,0.16,0.00,233.10,0.00,80.95
53,11.41,0.19,0.00,240.39,0.00,82.75
54,11.96,0.22,0.00,244.42,0.00,84.25
55,12.55,0.25,0.00,257.31,0.00,86.71
56,13.16,0.29,0.00,269.72,0.00,88.37
57,13.80,0.32,0.00,271.81,0.00,91.63
58,14.48,0.35,0.00,273.65,0.00,95.02
