day,canopy_cover,biomass,soil_moisture
0,0.00,0.00,0.00
1,0.00,0.00,-9.90
2,0.00,0.00,-9.90
3,0.00,0.00,-9.90
4,0.00,0.00,-9.90
5,0.00,0.00,-9.90
6,0.00,0.00,-9.90
7,0.00,0.00,-9.90
8,0.00,0.00,-9.90
9,0.00,0.00,-9.90
10,0.00,0.00,-9.90
11,0.00,0.00,-9.90
12,0.00,0.00,-9.90
13,0.00,0.00,-9.90
14,0.00,0.00,-9.90
15,0.00,0.00,-9.90
16,0.00,0.00,-9.90
17,0.00,0.00,-9.90
18,0.00,0.00,-9.90
19,0.00,0.00,-9.90
20,0.00,0.00,-9.90
21,0.00,0.00,-9.90
22,0.00,0.00,-9.90
23,0.00,0.00,-9.90
24,0.00,0.00,-9.90
25,0.00,0.00,-9.90
26,0.00,0.00,-9.90
27,0.00,0.00,-9.90
28,0.00,0.00,-9.90
29,0.00,0.00,-9.90
30,0.00,0.00,-9.90
31,0.00,0.00,120.16
32,0.00,0.00,117.52
33,0.00,0.00,114.12
34,0.00,0.00,112.38
35,0.00,0.00,110.36
36,0.00,0.00,108.37
37,0.00,0.00,106.82
38,0.00,0.00,117.38
39,0.00,0.00,131.59
40,0.00,0.00,144.05
41,0.00,0.00,153.75
42,0.00,0.00,162.18
43,7.08,0.01,170.14
44,7.43,0.02,177.57
45,7.79,0.04,186.11
46,8.17,0.06,194.28
47,8.57,0.08,200.60
48,8.99,0.11,208.59
49,9.43,0.12,214.37
50,9.89,0.13,220.81
51,10.37,0.14,281.37
52,10.88,0.15,293.14
53,11.41,0.16,301.11
54,11.96,0.16,305.34
55,12.55,0.16,309.42
56,13.16,0.17,313.38
57,13.81,0.17,317.20
58,14.48,0.18,320.91
59,15.19,0.18,324.50
60,15.93,0.19,327.99
61,16.71,0.19,331.37
62,17.52,0.20,334.65
63,18.38,0.20,337.84
64,19.28,0.21,340.93
65,20.22,0.21,343.93
66,21.21,0.22,346.85
67,22.24,0.22,349.68
68,23.33,0.23,352.42
69,24.47,0.24,355.09
70,25.67,0.24,357.67
71,26.92,0.25,360.17
72,28.23,0.25,362.60
73,29.61,0.26,364.94
74,31.06,0.26,367.21
75,32.58,0.27,369.40
76,34.17,0.27,371.52
77,35.84,0.28,373.56
78,37.59,0.29,375.52
79,39.43,0.29,377.41
80,41.35,0.30,379.22
81,43.37,0.30,380.96
82,45.36,0.31,382.61
83,47.25,0.31,384.17
84,49.05,0.32,385.66
85,50.76,0.32,387.06
86,52.39,0.33,388.40
87,53.93,0.33,389.67
88,55.40,0.34,390.82
89,56.79,0.34,391.93
90,58.12,0.35,392.98
91,59.37,0.35,393.98
92,60.56,0.35,394.94
93,61.68,0.36,395.86
94,62.75,0.36,396.74
95,63.76,0.37,397.58
96,64.71,0.37,398.39
97,65.60,0.37,399.16
98,66.45,0.38,399.91
99,67.24,0.38,400.63
100,67.98,0.38,401.32
101,68.68,0.38,402.94
102,69.33,0.39,403.22
103,69.94,0.39,403.48
104,70.50,0.39,403.74
105,71.01,0.39,403.99
106,71.49,0.39,404.24
107,71.92,0.40,404.48
108,72.31,0.40,404.71
109,72.66,0.40,404.93
110,72.97,0.40,405.15
111,73.24,0.40,405.16
112,73.46,0.40,405.16
113,73.65,0.40,405.17
114,73.79,0.41,405.17
115,73.88,0.41,405.17
116,73.93,0.41,405.17
117,68.27,0.41,405.05
118,68.53,0.41,405.06
119,68.79,0.41,405.06
120,69.03,0.42,405.07
121,69.25,0.42,405.07
122,69.47,0.42,405.08
123,69.68,0.42,405.08
124,69.88,0.42,405.09
125,70.07,0.42,405.09
126,70.25,0.43,405.10
127,70.42,0.43,405.10
128,70.58,0.43,405.10
129,70.74,0.43,405.11
130,70.89,0.43,405.11
131,71.03,0.43,405.11
132,71.16,0.44,405.12
133,71.29,0.44,405.12
134,71.41,0.44,405.12
135,71.53,0.44,405.12
136,71.64,0.44,405.13
137,71.75,0.44,405.13
138,71.85,0.45,405.13
139,71.95,0.45,405.13
140,72.04,0.45,405.13
141,72.13,0.45,405.14
142,72.21,0.45,405.14
143,0.00,0.45,400.13
144,0.00,0.45,400.13
145,0.00,0.45,400.13
146,0.00,0.45,400.13
147,0.00,0.45,400.13
148,0.00,0.45,400.13
149,0.00,0.45,400.13
150,0.00,0.45,400.13
151,0.00,0.45,400.13
152,0.00,0.45,400.13
153,0.00,0.45,400.13
154,0.00,0.45,400.13
155,0.00,0.45,400.13
156,0.00,0.45,400.13
157,0.00,0.45,400.13
158,0.00,0.45,400.13
159,0.00,0.45,400.13
160,0.00,0.45,400.13
161,0.00,0.45,400.13
162,0.00,0.45,400.13
163,0.00,0.45,400.13
164,0.00,0.45,400.13
165,0.00,0.45,400.13
166,0.00,0.45,400.13
167,0.00,0.45,400.13
