day,canopy_cover,biomass,soil_moisture,yield
0,0.00,0.00,0.00,0.00
1,0.00,0.00,7.69,0.00
2,0.00,0.00,17.52,0.00
3,0.00,0.00,18.01,0.00
4,0.00,0.00,17.52,0.00
5,0.00,0.00,17.52,0.00
6,0.00,0.00,17.52,0.00
7,0.00,0.00,17.52,0.00
8,0.00,0.00,18.76,0.00
9,0.00,0.00,17.52,0.00
10,0.00,0.00,17.52,0.00
11,0.00,0.00,17.52,0.00
12,0.00,0.00,17.52,0.00
13,0.00,0.00,17.52,0.00
14,0.00,0.00,18.72,0.00
15,0.00,0.00,17.52,0.00
16,0.00,0.00,17.52,0.00
17,0.00,0.00,17.52,0.00
18,0.00,0.00,17.52,0.00
19,0.00,0.00,17.52,0.00
20,0.00,0.00,20.05,0.00
21,0.00,0.00,29.66,0.00
22,0.00,0.00,32.06,0.00
23,0.00,0.00,31.78,0.00
24,0.00,0.00,31.08,0.00
25,0.00,0.00,30.40,0.00
26,0.00,0.00,36.15,0.00
27,0.00,0.00,39.42,0.00
28,0.00,0.00,40.52,0.00
29,0.00,0.00,40.99,0.00
30,0.00,0.00,41.81,0.00
31,0.00,0.00,39.58,0.00
32,0.00,0.00,41.61,0.00
33,0.00,0.00,38.44,0.00
34,6.10,0.02,35.11,0.00
35,6.85,0.04,32.65,0.00
36,7.68,0.07,30.68,0.00
37,8.62,0.10,28.84,0.00
38,9.67,0.13,27.14,0.00
39,10.59,0.15,25.64,0.00
40,11.40,0.18,24.44,0.00
41,11.96,0.20,23.21,0.00
42,12.60,0.22,22.73,0.00
43,13.50,0.24,22.55,0.00
44,15.19,0.28,30.30,0.00
45,17.07,0.34,38.32,0.00
46,19.20,0.40,38.91,0.00
47,21.59,0.47,38.05,0.00
48,24.28,0.55,41.15,0.00
49,27.30,0.62,42.00,0.00
50,30.70,0.72,41.05,0.00
51,34.52,0.82,46.42,0.00
52,38.81,0.89,57.58,0.00
53,43.64,0.94,70.34,0.00
54,43.64,0.94,81.54,0.00
55,43.64,0.94,81.54,0.00
56,43.64,0.94,81.54,0.00
57,43.64,0.94,81.54,0.00
58,43.64,0.94,81.54,0.00
59,43.64,0.94,81.54,0.00
60,43.64,0.94,81.54,0.00
61,43.64,0.94,81.54,0.00
62,43.64,0.94,81.54,0.00
63,43.64,0.94,81.54,0.00
64,43.64,0.94,81.54,0.00
65,43.64,0.94,81.54,0.00
66,43.64,0.94,81.54,0.00
67,43.64,0.94,81.54,0.00
68,43.64,0.94,81.54,0.00
69,43.64,0.94,81.54,0.00
70,43.64,0.94,81.54,0.00
71,43.64,0.94,81.54,0.00
72,43.64,0.94,81.54,0.00
73,43.64,0.94,81.54,0.00
74,43.64,0.94,81.54,0.00
75,43.64,0.94,81.54,0.00
76,43.64,0.94,81.54,0.00
