day,canopy_cover,biomass,soil_moisture
0,0.00,0.00,0.00
1,0.00,0.00,-9.90
2,0.00,0.00,-9.90
3,0.00,0.00,-9.90
4,0.00,0.00,-9.90
5,0.00,0.00,-9.90
6,0.00,0.00,-9.90
7,0.00,0.00,-9.90
8,0.00,0.00,-9.90
9,0.00,0.00,-9.90
10,0.00,0.00,-9.90
11,0.00,0.00,-9.90
12,0.00,0.00,-9.90
13,0.00,0.00,-9.90
14,0.00,0.00,-9.90
15,0.00,0.00,-9.90
16,0.00,0.00,-9.90
17,0.00,0.00,-9.90
18,0.00,0.00,-9.90
19,0.00,0.00,-9.90
20,0.00,0.00,-9.90
21,0.00,0.00,-9.90
22,0.00,0.00,-9.90
23,0.00,0.00,-9.90
24,0.00,0.00,-9.90
25,0.00,0.00,-9.90
26,0.00,0.00,-9.90
27,0.00,0.00,-9.90
28,0.00,0.00,-9.90
29,0.00,0.00,-9.90
30,0.00,0.00,-9.90
31,0.00,0.00,120.16
32,0.00,0.00,117.52
33,0.00,0.00,114.12
34,0.00,0.00,112.38
35,0.00,0.00,110.36
36,0.00,0.00,108.37
37,0.00,0.00,106.82
38,0.00,0.00,117.38
39,0.00,0.00,131.59
40,0.00,0.00,144.05
41,0.00,0.00,153.75
42,0.00,0.00,162.18
43,7.08,0.01,170.14
44,7.43,0.02,177.57
45,7.79,0.04,186.11
46,8.17,0.06,194.28
47,8.57,0.08,200.60
48,8.99,0.11,208.59
49,9.43,0.12,214.37
50,9.89,0.13,220.81
51,10.37,0.14,227.08
52,10.88,0.16,233.10
53,11.41,0.19,240.39
54,11.96,0.22,244.42
55,12.55,0.25,257.31
56,13.16,0.29,269.72
57,13.80,0.32,271.81
58,14.48,0.35,273.65
59,15.18,0.37,280.15
60,15.93,0.41,285.63
61,16.70,0.45,304.54
62,17.52,0.49,312.45
63,18.38,0.54,314.34
64,19.27,0.59,316.26
65,20.22,0.64,336.00
66,21.20,0.70,342.93
67,22.24,0.76,347.79
68,23.28,0.81,351.00
69,24.28,0.85,352.39
70,25.23,0.89,352.27
71,26.13,0.95,351.99
72,26.99,1.02,352.84
73,27.81,1.09,354.57
74,28.59,1.17,363.88
75,29.33,1.24,364.65
76,30.04,1.31,364.92
77,30.71,1.38,365.07
78,31.36,1.46,365.07
79,31.97,1.54,365.14
80,32.55,1.62,366.11
81,33.10,1.70,370.02
82,33.63,1.75,375.23
83,34.13,1.83,378.39
84,34.61,1.91,379.00
85,35.06,2.00,379.65
86,35.49,2.09,380.97
87,35.90,2.18,383.04
88,36.29,2.26,382.54
89,36.66,2.35,382.33
90,37.01,2.45,385.73
91,37.34,2.54,384.29
92,37.66,2.63,383.41
93,37.95,2.72,383.58
94,38.23,2.81,392.88
95,38.50,2.91,393.31
96,38.75,3.00,393.37
97,38.99,3.09,395.17
98,39.21,3.19,394.85
99,39.42,3.28,394.53
100,39.62,3.38,394.19
101,39.80,3.47,394.93
102,39.97,3.57,395.35
103,40.13,3.67,409.77
104,40.28,3.76,414.86
105,40.42,3.86,415.03
106,40.54,3.96,427.33
107,40.66,4.05,428.08
108,40.76,4.15,428.53
109,40.85,4.25,439.24
110,40.94,4.35,437.85
111,41.01,4.44,435.29
112,41.07,4.54,432.51
113,41.12,4.64,440.95
114,41.15,4.74,453.89
115,41.18,4.84,458.52
116,41.19,4.93,459.33
117,39.43,5.02,458.80
118,39.52,5.11,457.86
119,39.59,5.20,465.14
120,39.67,5.29,468.23
121,39.74,5.38,466.76
122,39.81,5.47,463.78
123,39.87,5.56,460.11
124,39.93,5.65,458.77
125,39.99,5.75,455.63
126,40.05,5.84,451.72
127,40.10,5.93,448.14
128,40.15,6.03,444.70
129,40.20,6.12,441.47
130,40.25,6.22,438.51
131,40.29,6.31,435.71
132,40.33,6.41,433.29
133,40.37,6.50,431.42
134,40.41,6.60,433.06
135,40.45,6.69,437.41
136,40.48,6.79,437.11
137,40.51,6.88,451.41
138,40.54,6.97,451.68
139,40.57,7.06,447.86
140,40.60,7.15,445.12
141,40.63,7.25,444.79
142,40.66,7.34,443.37
143,0.00,7.34,444.01
144,0.00,7.34,452.99
145,0.00,7.34,462.84
146,0.00,7.34,463.41
147,0.00,7.34,461.13
148,0.00,7.34,470.15
149,0.00,7.34,475.59
150,0.00,7.34,472.29
151,0.00,7.34,472.93
152,0.00,7.34,469.78
153,0.00,7.34,468.25
154,0.00,7.34,468.04
155,0.00,7.34,468.85
156,0.00,7.34,467.33
157,0.00,7.34,479.12
158,0.00,7.34,489.19
159,0.00,7.34,491.21
160,0.00,7.34,491.69
161,0.00,7.34,485.37
162,0.00,7.34,481.87
163,0.00,7.34,481.88
164,0.00,7.34,482.66
165,0.00,7.34,483.56
166,0.00,7.34,482.29
167,0.00,7.34,483.20
