day,canopy_cover,biomass,soil_moisture,yield
0,0.00,0.00,0.00,0.00
1,0.00,0.00,-9.90,0.00
2,0.00,0.00,-9.90,0.00
3,0.00,0.00,-9.90,0.00
4,0.00,0.00,-9.90,0.00
5,0.00,0.00,-9.90,0.00
6,0.00,0.00,-9.90,0.00
7,0.00,0.00,-9.90,0.00
8,0.00,0.00,-9.90,0.00
9,0.00,0.00,-9.90,0.00
10,0.00,0.00,-9.90,0.00
11,0.00,0.00,-9.90,0.00
12,0.00,0.00,-9.90,0.00
13,0.00,0.00,-9.90,0.00
14,0.00,0.00,-9.90,0.00
15,0.00,0.00,-9.90,0.00
16,0.00,0.00,-9.90,0.00
17,0.00,0.00,-9.90,0.00
18,0.00,0.00,-9.90,0.00
19,0.00,0.00,-9.90,0.00
20,0.00,0.00,-9.90,0.00
21,0.00,0.00,-9.90,0.00
22,0.00,0.00,-9.90,0.00
23,0.00,0.00,-9.90,0.00
24,0.00,0.00,-9.90,0.00
25,0.00,0.00,-9.90,0.00
26,0.00,0.00,-9.90,0.00
27,0.00,0.00,-9.90,0.00
28,0.00,0.00,-9.90,0.00
29,0.00,0.00,-9.90,0.00
30,0.00,0.00,-9.90,0.00
31,0.00,0.00,120.16,0.00
32,0.00,0.00,117.52,0.00
33,0.00,0.00,114.12,0.00
34,0.00,0.00,112.38,0.00
35,0.00,0.00,110.36,0.00
36,0.00,0.00,108.37,0.00
37,0.00,0.00,106.82,0.00
38,0.00,0.00,117.38,0.00
39,0.00,0.00,131.59,0.00
40,0.00,0.00,144.05,0.00
41,0.00,0.00,153.75,0.00
42,0.00,0.00,162.18,0.00
43,7.08,0.01,170.14,0.00
44,7.43,0.02,177.57,0.00
45,7.79,0.04,186.11,0.00
46,8.17,0.06,194.28,0.00
47,8.57,0.08,200.60,0.00
48,8.99,0.11,208.59,0.00
49,9.43,0.12,214.37,0.00
50,9.89,0.13,220.81,0.00
51,10.37,0.14,227.08,0.00
52,10.88,0.16,287.22,0.00
53,11.41,0.17,301.02,0.00
54,11.96,0.17,308.88,0.00
55,12.55,0.18,312.93,0.00
56,13.16,0.18,316.85,0.00
57,13.81,0.19,320.65,0.00
58,14.48,0.19,324.33,0.00
59,15.19,0.20,327.89,0.00
60,15.93,0.20,331.35,0.00
61,16.71,0.21,334.71,0.00
62,17.52,0.21,337.97,0.00
63,18.38,0.22,341.13,0.00
64,19.28,0.22,344.20,0.00
65,20.22,0.23,347.18,0.00
66,21.21,0.23,350.07,0.00
67,22.24,0.24,352.88,0.00
68,23.33,0.24,355.61,0.00
69,24.47,0.25,358.25,0.00
70,25.67,0.25,360.82,0.00
71,26.92,0.26,363.30,0.00
72,28.23,0.26,365.71,0.00
73,29.61,0.27,368.04,0.00
74,31.06,0.28,370.30,0.00
75,32.58,0.28,372.47,0.00
76,34.17,0.29,374.58,0.00
77,35.84,0.29,376.60,0.00
78,37.59,0.30,378.55,0.00
79,39.43,0.30,380.43,0.00
80,41.35,0.31,382.23,0.00
81,43.37,0.31,383.95,0.00
82,45.36,0.32,385.59,0.00
83,47.25,0.33,387.15,0.00
84,49.05,0.33,388.62,0.00
85,50.76,0.33,389.99,0.00
86,52.39,0.34,391.26,0.00
87,53.93,0.34,392.46,0.00
88,55.40,0.35,393.61,0.00
89,56.79,0.35,394.71,0.00
90,58.12,0.36,395.75,0.00
91,59.37,0.36,396.75,0.00
92,60.56,0.37,397.70,0.00
93,61.68,0.37,398.61,0.00
94,62.75,0.37,399.49,0.00
95,63.76,0.38,400.32,0.00
96,64.71,0.38,401.12,0.00
97,65.60,0.38,401.90,0.00
98,66.45,0.39,402.64,0.00
99,67.24,0.39,403.35,0.00
100,67.98,0.39,404.04,0.00
101,68.68,0.40,404.70,0.00
102,69.33,0.40,406.27,0.00
103,69.94,0.40,406.53,0.00
104,70.50,0.40,406.79,0.00
105,71.01,0.41,407.04,0.00
106,71.49,0.41,407.28,0.00
107,71.92,0.41,407.52,0.00
108,72.31,0.41,407.75,0.00
109,72.66,0.41,407.97,0.00
110,72.97,0.41,408.19,0.00
111,73.24,0.41,408.20,0.00
112,73.46,0.42,408.20,0.00
113,73.65,0.42,408.21,0.01
114,73.79,0.42,408.21,0.01
115,73.88,0.42,408.21,0.01
116,73.93,0.42,408.21,0.02
117,68.27,0.42,408.09,0.02
118,68.53,0.43,408.10,0.03
119,68.79,0.43,408.10,0.03
120,69.03,0.43,408.11,0.04
121,69.25,0.43,408.11,0.05
122,69.47,0.43,408.12,0.06
123,69.68,0.43,408.12,0.07
124,69.88,0.44,408.13,0.09
125,70.07,0.44,408.13,0.10
126,70.25,0.44,408.13,0.11
127,70.42,0.44,408.14,0.12
128,70.58,0.44,408.14,0.13
129,70.74,0.44,408.14,0.15
130,70.89,0.45,408.15,0.16
131,71.03,0.45,408.15,0.17
132,71.16,0.45,408.15,0.18
133,71.29,0.45,408.16,0.19
134,71.41,0.45,408.16,0.21
135,71.53,0.45,408.16,0.22
136,71.64,0.46,408.16,0.23
137,71.75,0.46,408.17,0.25
138,71.85,0.46,408.17,0.26
139,71.95,0.46,408.17,0.27
140,72.04,0.46,408.17,0.28
141,72.13,0.46,408.17,0.30
142,72.21,0.47,408.18,0.30
143,0.00,0.47,403.17,0.30
144,0.00,0.47,403.17,0.30
145,0.00,0.47,403.17,0.30
146,0.00,0.47,403.17,0.30
147,0.00,0.47,403.17,0.30
148,0.00,0.47,403.17,0.30
149,0.00,0.47,403.17,0.30
150,0.00,0.47,403.17,0.30
151,0.00,0.47,403.17,0.30
152,0.00,0.47,403.17,0.30
153,0.00,0.47,403.17,0.30
154,0.00,0.47,403.17,0.30
155,0.00,0.47,403.17,0.30
156,0.00,0.47,403.17,0.30
157,0.00,0.47,403.17,0.30
158,0.00,0.47,403.17,0.30
159,0.00,0.47,403.17,0.30
160,0.00,0.47,403.17,0.30
161,0.00,0.47,403.17,0.30
162,0.00,0.47,403.17,0.30
163,0.00,0.47,403.17,0.30
164,0.00,0.47,403.17,0.30
165,0.00,0.47,403.17,0.30
166,0.00,0.47,403.17,0.30
167,0.00,0.47,403.17,0.30
