day,canopy_cover,biomass,yield,soil_moisture
0,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,7.69
2,0.00,0.00,0.00,17.52
3,0.00,0.00,0.00,18.01
4,0.00,0.00,0.00,17.52
5,0.00,0.00,0.00,17.52
6,0.00,0.00,0.00,17.52
7,0.00,0.00,0.00,17.52
8,0.00,0.00,0.00,18.76
9,0.00,0.00,0.00,17.52
10,0.00,0.00,0.00,17.52
11,0.00,0.00,0.00,17.52
12,0.00,0.00,0.00,17.52
13,0.00,0.00,0.00,17.52
14,0.00,0.00,0.00,18.72
15,0.00,0.00,0.00,17.52
16,0.00,0.00,0.00,17.52
17,0.00,0.00,0.00,17.52
18,0.00,0.00,0.00,17.52
19,0.00,0.00,0.00,17.52
20,0.00,0.00,0.00,20.05
21,0.00,0.00,0.00,29.66
22,0.00,0.00,0.00,32.06
23,0.00,0.00,0.00,31.78
24,0.00,0.00,0.00,31.08
25,0.00,0.00,0.00,30.40
26,0.00,0.00,0.00,36.15
27,0.00,0.00,0.00,39.42
28,0.00,0.00,0.00,40.52
29,0.00,0.00,0.00,40.99
30,0.00,0.00,0.00,41.81
31,0.00,0.00,0.00,39.58
32,0.00,0.00,0.00,41.61
33,0.00,0.00,0.00,38.44
34,6.10,0.02,0.00,35.11
35,6.85,0.04,0.00,32.65
36,7.68,0.07,0.00,30.68
37,8.62,0.10,0.00,28.84
38,9.67,0.13,0.00,27.14
39,10.59,0.15,0.00,25.64
40,11.40,0.18,0.00,24.44
41,11.96,0.20,0.00,23.21
42,12.60,0.22,0.00,22.73
43,13.50,0.24,0.00,22.55
44,15.19,0.28,0.00,30.30
45,17.07,0.34,0.00,38.32
46,19.20,0.40,0.00,38.91
47,21.59,0.47,0.00,38.05
48,24.28,0.55,0.00,41.15
49,27.30,0.62,0.00,42.00
50,30.70,0.72,0.00,41.05
51,34.52,0.82,0.00,46.42
52,38.81,0.93,0.00,47.47
53,43.64,1.05,0.00,48.66
54,48.93,1.18,0.00,51.99
55,53.79,1.31,0.00,48.27
56,58.11,1.46,0.00,48.18
57,61.95,1.60,0.00,47.67
58,65.37,1.75,0.00,43.68
59,68.41,1.88,0.00,42.90
60,71.11,2.02,0.00,42.42
61,73.51,2.16,0.00,43.06
62,75.34,2.28,0.00,40.91
63,76.04,2.37,0.00,38.09
64,76.08,2.39,0.00,37.02
65,76.94,2.48,0.00,38.71
66,78.00,2.59,0.00,39.28
67,79.63,2.77,0.00,47.30
68,81.08,2.91,0.00,44.55
69,82.38,3.02,0.00,42.48
70,83.06,3.14,0.00,39.39
71,83.21,3.20,0.00,37.51
72,83.27,3.25,0.00,37.26
73,84.32,3.41,0.00,43.65
74,85.24,3.56,0.00,42.07
75,86.06,3.71,0.00,42.60
76,86.79,3.87,0.00,42.90
77,87.44,4.03,0.00,42.38
78,87.93,4.17,0.00,40.85
79,88.05,4.27,0.00,37.66
80,88.10,4.34,0.00,37.28
81,88.48,4.49,0.00,40.16
82,88.55,4.58,0.00,37.40
83,88.51,4.58,0.00,37.08
84,88.46,4.58,0.00,36.74
85,88.40,4.58,0.00,36.43
86,88.31,4.58,0.00,36.09
87,88.19,4.58,0.00,35.71
88,88.02,4.58,0.00,35.29
89,87.83,4.58,0.00,34.91
90,87.81,4.61,0.00,36.74
91,87.73,4.61,0.00,36.38
92,87.61,4.61,0.00,35.95
93,87.48,4.61,0.00,35.59
94,87.30,4.61,0.00,35.19
95,87.13,4.61,0.00,34.87
96,86.83,4.61,0.00,34.42
97,86.50,4.61,0.00,34.02
98,86.06,4.61,0.07,33.97
99,85.65,4.61,0.09,33.94
100,85.19,4.61,0.12,33.90
101,84.67,4.61,0.15,33.86
102,84.12,4.61,0.19,33.82
103,83.57,4.61,0.24,33.78
104,82.84,4.61,0.29,33.72
105,82.00,4.61,0.37,33.65
106,81.08,4.61,0.45,33.58
107,80.03,4.61,0.55,33.50
108,78.89,4.61,0.64,33.42
109,77.55,4.61,0.74,33.31
110,77.53,4.68,0.86,38.24
111,77.50,4.75,0.98,38.28
112,77.51,4.77,1.09,37.15
113,77.51,4.81,1.21,37.31
114,77.51,4.93,1.35,42.34
115,77.52,5.05,1.51,43.28
116,77.52,5.16,1.66,40.09
117,77.52,5.25,1.81,38.62
118,77.52,5.28,1.94,36.99
119,77.47,5.28,2.06,36.83
120,77.47,5.31,2.20,37.23
