day,soil_moisture,irrigation_applied
0,483.20,0.00
1,-9.90,0.00
2,-9.90,0.00
3,-9.90,0.00
4,-9.90,0.00
5,-9.90,0.00
6,-9.90,0.00
7,-9.90,0.00
8,-9.90,0.00
9,-9.90,0.00
10,-9.90,0.00
11,-9.90,0.00
12,-9.90,0.00
13,-9.90,0.00
14,-9.90,0.00
15,-9.90,0.00
16,-9.90,0.00
17,-9.90,0.00
18,-9.90,0.00
19,-9.90,0.00
20,-9.90,0.00
21,-9.90,0.00
22,-9.90,0.00
23,-9.90,0.00
24,-9.90,0.00
25,-9.90,0.00
26,-9.90,0.00
27,-9.90,0.00
28,-9.90,0.00
29,-9.90,0.00
30,-9.90,0.00
31,120.16,0.00
32,117.52,0.00
33,114.12,0.00
34,112.38,0.00
35,110.36,0.00
36,108.37,0.00
37,106.82,0.00
38,117.38,0.00
39,131.59,0.00
40,144.05,0.00
41,153.75,0.00
42,162.18,0.00
43,170.14,0.00
44,177.57,0.00
45,186.11,0.00
46,194.28,0.00
47,200.60,0.00
48,208.59,0.00
49,214.37,0.00
50,220.81,0.00
51,227.08,0.00
52,233.10,0.00
53,240.39,0.00
54,244.42,0.00
55,257.31,0.00
56,269.72,0.00
57,271.81,0.00
58,273.65,0.00
59,280.15,0.00
60,285.63,0.00
61,304.54,0.00
62,312.45,0.00
63,314.34,0.00
64,316.26,0.00
65,336.00,0.00
66,342.93,0.00
67,347.79,0.00
68,351.00,0.00
69,352.39,0.00
70,352.27,0.00
71,351.99,0.00
72,352.84,0.00
73,354.57,0.00
74,363.88,0.00
75,364.65,0.00
76,364.92,0.00
77,365.07,0.00
78,365.07,0.00
79,365.14,0.00
80,366.11,0.00
81,370.02,0.00
82,375.23,0.00
83,378.39,0.00
84,379.00,0.00
85,379.65,0.00
86,380.97,0.00
87,383.04,0.00
88,382.54,0.00
89,382.33,0.00
90,385.73,0.00
91,384.29,0.00
92,383.41,0.00
93,383.58,0.00
94,392.88,0.00
95,393.31,0.00
96,393.37,0.00
97,395.17,0.00
98,394.85,0.00
99,394.53,0.00
100,394.19,0.00
101,394.93,0.00
102,395.35,0.00
103,409.77,0.00
104,414.86,0.00
105,415.03,0.00
106,427.33,0.00
107,428.08,0.00
108,428.53,0.00
109,439.24,0.00
110,437.85,0.00
111,435.29,0.00
112,432.51,0.00
113,440.95,0.00
114,453.89,0.00
115,458.52,0.00
116,459.33,0.00
117,458.80,0.00
118,457.86,0.00
119,465.14,0.00
120,468.23,0.00
121,466.76,0.00
122,463.78,0.00
123,460.11,0.00
124,458.77,0.00
125,455.63,0.00
126,451.72,0.00
127,448.14,0.00
128,444.70,0.00
129,441.47,0.00
130,438.51,0.00
131,435.71,0.00
132,433.29,0.00
133,431.42,0.00
134,433.06,0.00
135,437.41,0.00
136,437.11,0.00
137,451.41,0.00
138,451.68,0.00
139,447.86,0.00
140,445.12,0.00
141,444.79,0.00
142,443.37,0.00
143,444.01,0.00
144,452.99,0.00
145,462.84,0.00
146,463.41,0.00
147,461.13,0.00
148,470.15,0.00
149,475.59,0.00
150,472.29,0.00
151,472.93,0.00
152,469.78,0.00
153,468.25,0.00
154,468.04,0.00
155,468.85,0.00
156,467.33,0.00
157,479.12,0.00
158,489.19,0.00
159,491.21,0.00
160,491.69,0.00
161,485.37,0.00
162,481.87,0.00
163,481.88,0.00
164,482.66,0.00
165,483.56,0.00
166,482.29,0.00
167,483.20,0.00
