day,canopy_cover,biomass,yield,soil_moisture
0,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,-9.90
2,0.00,0.00,0.00,-9.90
3,0.00,0.00,0.00,-9.90
4,0.00,0.00,0.00,-9.90
5,0.00,0.00,0.00,-9.90
6,0.00,0.00,0.00,-9.90
7,0.00,0.00,0.00,-9.90
8,0.00,0.00,0.00,-9.90
9,0.00,0.00,0.00,-9.90
10,0.00,0.00,0.00,-9.90
11,0.00,0.00,0.00,-9.90
12,0.00,0.00,0.00,-9.90
13,0.00,0.00,0.00,-9.90
14,0.00,0.00,0.00,-9.90
15,0.00,0.00,0.00,-9.90
16,0.00,0.00,0.00,-9.90
17,0.00,0.00,0.00,-9.90
18,0.00,0.00,0.00,-9.90
19,0.00,0.00,0.00,-9.90
20,0.00,0.00,0.00,-9.90
21,0.00,0.00,0.00,-9.90
22,0.00,0.00,0.00,-9.90
23,0.00,0.00,0.00,-9.90
24,0.00,0.00,0.00,-9.90
25,0.00,0.00,0.00,-9.90
26,0.00,0.00,0.00,-9.90
27,0.00,0.00,0.00,-9.90
28,0.00,0.00,0.00,-9.90
29,0.00,0.00,0.00,-9.90
30,0.00,0.00,0.00,-9.90
31,0.00,0.00,0.00,120.16
32,0.00,0.00,0.00,117.52
33,0.00,0.00,0.00,114.12
34,0.00,0.00,0.00,112.38
35,0.00,0.00,0.00,110.36
36,0.00,0.00,0.00,108.37
37,0.00,0.00,0.00,106.82
38,0.00,0.00,0.00,117.38
39,0.00,0.00,0.00,131.59
40,0.00,0.00,0.00,144.05
41,0.00,0.00,0.00,153.75
42,0.00,0.00,0.00,162.18
43,7.08,0.01,0.00,170.14
44,7.43,0.02,0.00,177.57
45,7.79,0.04,0.00,186.11
46,8.17,0.06,0.00,194.28
47,8.57,0.08,0.00,200.60
48,8.99,0.11,0.00,208.59
49,9.43,0.12,0.00,214.37
50,9.89,0.13,0.00,220.81
51,10.37,0.14,0.00,227.08
52,10.88,0.16,0.00,233.10
53,11.41,0.19,0.00,240.39
54,11.96,0.22,0.00,244.42
55,12.55,0.25,0.00,257.31
56,13.16,0.29,0.00,269.72
57,13.80,0.32,0.00,271.81
58,14.48,0.35,0.00,273.65
59,15.18,0.37,0.00,280.15
60,15.93,0.41,0.00,285.63
61,16.70,0.45,0.00,304.54
62,17.52,0.49,0.00,312.45
63,18.38,0.54,0.00,314.34
64,19.27,0.59,0.00,316.26
65,20.22,0.64,0.00,336.00
66,21.20,0.70,0.00,342.93
67,22.24,0.76,0.00,347.79
68,23.28,0.81,0.00,351.00
69,24.28,0.85,0.00,352.39
70,25.23,0.89,0.00,352.27
71,26.13,0.95,0.00,351.99
72,26.99,1.02,0.00,352.84
73,27.81,1.09,0.00,354.57
74,28.59,1.17,0.00,363.88
75,29.33,1.24,0.00,364.65
76,30.04,1.31,0.00,364.92
77,30.71,1.38,0.00,365.07
78,31.36,1.46,0.00,365.07
79,31.97,1.54,0.00,365.14
80,32.55,1.62,0.00,366.11
81,33.10,1.70,0.00,370.02
82,33.63,1.75,0.00,375.23
